,city,price,bathrooms,bedrooms,livingArea,homeType,taxAssessedValue,Price/sqft,HasFlooring,HasHeating,HasCooling,HasGarageSpace,HasLaundary,HasFirePlace,HasPool,Employment,Schools,Crime
120,Berkeley,1995000,4,4,2143,SINGLE_FAMILY,1076100,930.9379375,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B-,A,F
121,Berkeley,1695000,3,3,2663,SINGLE_FAMILY,265487,636.5001878,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B-,A,F
122,Berkeley,1750000,2,3,1697,SINGLE_FAMILY,172091,1031.231585,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B-,A,F
123,Berkeley,1995000,5,7,3965,SINGLE_FAMILY,106718,503.1525851,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B-,A,F
124,Berkeley,2395000,4,4,3254,SINGLE_FAMILY,815996,736.0172096,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B-,A,F
125,Berkeley,995000,3,4,1917,SINGLE_FAMILY,121042,519.0401669,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B-,A,F
126,Burlingame,2150000,2,3,1490,SINGLE_FAMILY,2050584,1442.95302,No,Yes,Yes,Yes,No,Yes,No,A,A,D
127,Burlingame,2495000,1,2,1290,SINGLE_FAMILY,276926,1934.108527,Yes,Yes,Yes,Yes,No,Yes,No,A,A,D
128,Burlingame,2698000,2,3,1996,SINGLE_FAMILY,1115721,1351.703407,Yes,Yes,Yes,Yes,Yes,Yes,No,A,A,D
129,Burlingame,5950000,4,4,3399,SINGLE_FAMILY,2288027,1750.514857,Yes,Yes,Yes,Yes,Yes,Yes,No,A,A,D
130,Burlingame,2199950,4,3,2170,SINGLE_FAMILY,,1013.801843,Yes,Yes,Yes,Yes,No,Yes,No,A,A,D
131,Burlingame,2888000,2,3,2080,SINGLE_FAMILY,790344,1388.461538,No,Yes,Yes,Yes,No,Yes,No,A,A,D
132,Burlingame,2148000,1,3,1690,SINGLE_FAMILY,881458,1271.005917,No,Yes,Yes,Yes,Yes,Yes,No,A,A,D
133,Burlingame,2388000,2,3,1810,SINGLE_FAMILY,719924,1319.337017,Yes,Yes,Yes,Yes,Yes,Yes,No,A,A,D
134,Burlingame,1295000,3,2,1400,TOWNHOUSE,1476904,925,Yes,Yes,Yes,Yes,Yes,Yes,Yes,A,A,D
135,Burlingame,2895000,2,4,2700,SINGLE_FAMILY,308975,1072.222222,Yes,Yes,Yes,Yes,Yes,Yes,No,A,A,D
136,Burlingame,2980000,4,5,3380,SINGLE_FAMILY,1123156,881.6568047,Yes,Yes,Yes,Yes,Yes,Yes,No,A,A,D
137,Burlingame,5295000,3,4,2794,SINGLE_FAMILY,2830130,1895.132427,Yes,Yes,Yes,Yes,No,Yes,No,A,A,D
138,Burlingame,3825000,4,4,2821,SINGLE_FAMILY,2515000,1355.902162,Yes,Yes,Yes,Yes,Yes,Yes,No,A,A,D
139,Burlingame,5249000,5,5,2992,SINGLE_FAMILY,1810500,1754.34492,Yes,Yes,Yes,Yes,Yes,Yes,Yes,A,A,D
140,Burlingame,1098000,2,2,1065,CONDO,1006151,1030.985915,Yes,Yes,Yes,Yes,Yes,Yes,No,A,A,D
141,Burlingame,948000,1,1,620,CONDO,674858,1529.032258,Yes,Yes,Yes,Yes,Yes,Yes,No,A,A,D
142,Burlingame,2825000,2,3,2050,SINGLE_FAMILY,2601665,1378.04878,Yes,Yes,Yes,Yes,Yes,Yes,No,A,A,D
143,Burlingame,2498000,4,4,2200,SINGLE_FAMILY,1515005,1135.454545,Yes,Yes,Yes,Yes,No,Yes,No,A,A,D
144,Burlingame,3300000,3,3,2030,SINGLE_FAMILY,995334,1625.615764,Yes,Yes,Yes,Yes,Yes,Yes,No,A,A,D
145,Burlingame,2498000,3,4,2950,SINGLE_FAMILY,158233,846.779661,Yes,Yes,Yes,Yes,Yes,Yes,No,A,A,D
146,Burlingame,1758000,1,2,950,SINGLE_FAMILY,1157711,1850.526316,No,Yes,Yes,Yes,Yes,Yes,No,A,A,D
147,Burlingame,2798000,3,4,2530,SINGLE_FAMILY,857646,1105.928854,Yes,Yes,Yes,Yes,Yes,Yes,No,A,A,D
148,Burlingame,2698000,3,4,2110,SINGLE_FAMILY,196510,1278.672986,Yes,Yes,Yes,Yes,Yes,Yes,Yes,A,A,D
149,Burlingame,3575000,3,4,2670,SINGLE_FAMILY,1970268,1338.951311,No,Yes,Yes,Yes,No,Yes,No,A,A,D
150,Burlingame,2775000,2,4,2235,SINGLE_FAMILY,1839560,1241.610738,Yes,Yes,Yes,Yes,No,Yes,No,A,A,D
151,Burlingame,3299950,2,4,2135,SINGLE_FAMILY,179006,1545.644028,Yes,Yes,Yes,Yes,Yes,Yes,Yes,A,A,D
152,Burlingame,4485000,5,4,2970,SINGLE_FAMILY,2784958,1510.10101,No,Yes,Yes,Yes,No,Yes,No,A,A,D
153,Burlingame,1898000,4,8,3336,MULTI_FAMILY,613237,568.9448441,No,Yes,No,Yes,No,Yes,No,A,A,D
154,Burlingame,3100000,2,5,4460,MULTI_FAMILY,201282,695.0672646,Yes,Yes,Yes,Yes,Yes,Yes,No,A,A,D
155,Burlingame,3300000,3,3,2183,SINGLE_FAMILY,3085752,1511.681173,No,Yes,Yes,Yes,Yes,Yes,No,A,A,D
156,Burlingame,2995000,0,5,3397,MULTI_FAMILY,,881.6602885,No,No,No,Yes,No,Yes,No,A,A,D
157,Burlingame,2695000,4,4,2370,SINGLE_FAMILY,2228848,1137.130802,Yes,Yes,Yes,Yes,Yes,Yes,No,A,A,D
158,Burlingame,1195000,2,2,1309,CONDO,361148,912.9106188,Yes,Yes,Yes,Yes,Yes,Yes,No,A,A,D
159,Burlingame,1900000,2,4,1598,MULTI_FAMILY,1983572,1188.986233,Yes,Yes,Yes,Yes,No,Yes,No,A,A,D
160,Burlingame,1375000,2,2,1390,CONDO,552434,989.2086331,Yes,Yes,Yes,Yes,Yes,Yes,No,A,A,D
161,Burlingame,2795000,3,4,1818,SINGLE_FAMILY,804584,1537.40374,No,Yes,Yes,Yes,No,Yes,No,A,A,D
162,Burlingame,3225000,3,4,2460,SINGLE_FAMILY,2047188,1310.97561,Yes,Yes,Yes,Yes,Yes,Yes,No,A,A,D
163,Burlingame,1850000,2,3,1550,SINGLE_FAMILY,483420,1193.548387,No,Yes,Yes,Yes,Yes,Yes,Yes,A,A,D
164,Burlingame,3500000,5,10,5828,MULTI_FAMILY,2283029,600.5490734,Yes,Yes,Yes,Yes,Yes,Yes,Yes,A,A,D
165,Campbell,1299000,3,3,1987,SINGLE_FAMILY,742468,653.7493709,Yes,Yes,Yes,Yes,Yes,Yes,No,A-,A-,D+
166,Campbell,1825000,2,4,1670,SINGLE_FAMILY,308584,1092.814371,No,Yes,Yes,Yes,No,Yes,No,A-,A-,D+
167,Campbell,2600000,3,4,2705,SINGLE_FAMILY,1032390,961.1829945,Yes,Yes,Yes,Yes,Yes,Yes,Yes,A-,A-,D+
168,Campbell,1839600,2,3,1469,SINGLE_FAMILY,1235816,1252.280463,Yes,Yes,Yes,Yes,No,Yes,No,A-,A-,D+
169,Campbell,449000,3,2,1392,MANUFACTURED,,322.5574713,Yes,Yes,Yes,Yes,No,Yes,No,A-,A-,D+
170,Campbell,1888888,2,4,1730,SINGLE_FAMILY,236208,1091.842775,Yes,Yes,Yes,Yes,Yes,Yes,Yes,A-,A-,D+
171,Campbell,2349999,2,8,3578,MULTI_FAMILY,2000000,656.7912241,No,Yes,Yes,Yes,Yes,Yes,Yes,A-,A-,D+
172,Campbell,1998000,3,4,1879,SINGLE_FAMILY,1387200,1063.331559,Yes,Yes,Yes,Yes,Yes,Yes,No,A-,A-,D+
173,Campbell,1599000,3,3,1447,SINGLE_FAMILY,764490,1105.044921,No,Yes,Yes,Yes,No,Yes,No,A-,A-,D+
174,Campbell,510000,1,1,704,CONDO,481436,724.4318182,No,Yes,Yes,Yes,No,Yes,No,A-,A-,D+
175,Campbell,2175000,2,4,2166,SINGLE_FAMILY,1247829,1004.155125,Yes,Yes,Yes,Yes,Yes,Yes,No,A-,A-,D+
176,Campbell,1750000,3,3,1791,SINGLE_FAMILY,276404,977.107761,Yes,Yes,Yes,Yes,Yes,Yes,No,A-,A-,D+
177,Campbell,2295000,2,3,2131,SINGLE_FAMILY,1169014,1076.959174,Yes,Yes,Yes,Yes,Yes,Yes,No,A-,A-,D+
178,Campbell,1520000,2,4,1189,SINGLE_FAMILY,906891,1278.385198,No,Yes,Yes,Yes,No,Yes,No,A-,A-,D+
179,Campbell,2695000,3,4,2350,SINGLE_FAMILY,340318,1146.808511,Yes,Yes,Yes,Yes,No,Yes,No,A-,A-,D+
180,Campbell,2150000,2,9,3948,MULTI_FAMILY,592399,544.5795339,Yes,Yes,Yes,Yes,Yes,Yes,No,A-,A-,D+
181,Campbell,888000,2,2,1279,TOWNHOUSE,441582,694.2924159,Yes,Yes,Yes,Yes,No,Yes,No,A-,A-,D+
182,Campbell,1999999,4,4,2015,SINGLE_FAMILY,1812020,992.555335,Yes,Yes,Yes,Yes,Yes,Yes,No,A-,A-,D+
183,Campbell,1799000,2,8,3328,MULTI_FAMILY,369239,540.5649038,No,Yes,Yes,Yes,No,Yes,No,A-,A-,D+
184,Campbell,2598000,3,5,3546,SINGLE_FAMILY,526314,732.6565144,No,Yes,Yes,Yes,No,Yes,No,A-,A-,D+
185,Campbell,2998000,3,4,2480,SINGLE_FAMILY,1700000,1208.870968,Yes,Yes,Yes,Yes,Yes,Yes,No,A-,A-,D+
186,Campbell,1399888,3,3,1679,TOWNHOUSE,1059740,833.7629541,No,Yes,Yes,Yes,No,Yes,No,A-,A-,D+
187,Campbell,2300000,2,4,2244,SINGLE_FAMILY,107202,1024.955437,Yes,Yes,Yes,Yes,Yes,Yes,No,A-,A-,D+
188,Campbell,2350000,3,6,2902,SINGLE_FAMILY,1238791,809.7863542,Yes,Yes,Yes,Yes,Yes,Yes,Yes,A-,A-,D+
